epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3372,0.76978,1.91561,1.20887,0.27742,0.51,0.37346,0.30197,0.67134,1.37842,1.17268,0.000367959,0.000367959,0.000367959
2,109.648,0.75265,1.30477,1.16879,0.45605,0.5487,0.47009,0.3812,0.68057,1.01672,1.18999,0.000730984,0.000730984,0.000730984
3,161.594,0.75187,1.11069,1.1626,0.52916,0.48232,0.39783,0.31728,0.72829,1.57658,1.23998,0.00108668,0.00108668,0.00108668
4,212.954,0.73658,1.02952,1.15814,0.62627,0.57406,0.53872,0.45261,0.59404,0.85233,1.10301,0.001078,0.001078,0.001078
5,263.628,0.7127,0.95359,1.13576,0.59882,0.63599,0.51765,0.41918,0.71682,1.02044,1.17403,0.001067,0.001067,0.001067
6,314.256,0.71266,0.90896,1.1369,0.5716,0.67515,0.57716,0.49115,0.60621,0.81058,1.11873,0.00105601,0.00105601,0.00105601
7,364.781,0.70039,0.87239,1.12876,0.48198,0.71471,0.58886,0.51158,0.55692,0.86641,1.05179,0.00104501,0.00104501,0.00104501
8,415.253,0.67767,0.81377,1.10922,0.54409,0.72496,0.69379,0.57012,0.59915,0.69892,1.09977,0.00103401,0.00103401,0.00103401
9,465.876,0.6808,0.79647,1.11599,0.49546,0.77004,0.65033,0.55108,0.59469,0.80987,1.08653,0.00102301,0.00102301,0.00102301
10,516.436,0.66629,0.79517,1.09883,0.63125,0.69536,0.65787,0.55231,0.57856,0.69946,1.06808,0.00101201,0.00101201,0.00101201
11,567.072,0.65748,0.76362,1.10019,0.71152,0.59985,0.68161,0.58918,0.54842,0.67925,1.06487,0.00100101,0.00100101,0.00100101
12,617.982,0.65074,0.73902,1.09311,0.61105,0.70839,0.70461,0.61085,0.53766,0.64753,1.02633,0.000990012,0.000990012,0.000990012
13,669.149,0.64646,0.74777,1.09302,0.61432,0.69865,0.70382,0.59427,0.60096,0.65434,1.07338,0.000979013,0.000979013,0.000979013
14,720.21,0.65418,0.70548,1.09573,0.68912,0.65369,0.72027,0.63309,0.545,0.66212,1.02656,0.000968014,0.000968014,0.000968014
15,771.235,0.64404,0.71922,1.0914,0.67464,0.69803,0.76566,0.66652,0.55148,0.59371,1.04969,0.000957015,0.000957015,0.000957015
16,822.488,0.63886,0.71442,1.08833,0.72055,0.63508,0.70816,0.61726,0.52661,0.61466,1.02601,0.000946016,0.000946016,0.000946016
17,874.155,0.63596,0.69878,1.08759,0.67924,0.70891,0.74707,0.65922,0.50757,0.66094,1.01844,0.000935018,0.000935018,0.000935018
18,926.072,0.62008,0.68008,1.0757,0.72621,0.70067,0.754,0.65499,0.52868,0.61683,1.03463,0.000924019,0.000924019,0.000924019
19,977.323,0.61243,0.67873,1.0729,0.71272,0.70359,0.76857,0.67541,0.51282,0.57408,1.01264,0.00091302,0.00091302,0.00091302
20,1028.28,0.61237,0.66458,1.07224,0.66923,0.74917,0.76185,0.67191,0.51068,0.58571,1.011,0.000902021,0.000902021,0.000902021
21,1082.13,0.62027,0.65449,1.07377,0.70752,0.70769,0.73796,0.64543,0.52537,0.70237,1.02477,0.000891022,0.000891022,0.000891022
22,1135.17,0.62421,0.66015,1.08477,0.71697,0.78566,0.79967,0.71655,0.50743,0.54895,1.00142,0.000880023,0.000880023,0.000880023
23,1186.95,0.60345,0.62387,1.06264,0.73042,0.72617,0.77856,0.68382,0.52045,0.56068,1.02755,0.000869024,0.000869024,0.000869024
24,1238.24,0.60183,0.6404,1.06395,0.758,0.7424,0.81566,0.72144,0.51795,0.52905,1.00331,0.000858025,0.000858025,0.000858025
25,1290.01,0.60475,0.62747,1.06718,0.73484,0.79729,0.82162,0.72985,0.49911,0.50481,0.99314,0.000847026,0.000847026,0.000847026
26,1341.7,0.58595,0.62595,1.05638,0.77608,0.67763,0.76025,0.67463,0.51478,0.65097,1.01397,0.000836027,0.000836027,0.000836027
27,1393.48,0.60544,0.63535,1.06599,0.77859,0.72451,0.81979,0.73127,0.49531,0.52256,1.00064,0.000825029,0.000825029,0.000825029
28,1444.86,0.59905,0.59869,1.06127,0.75228,0.75837,0.79652,0.69948,0.5174,0.58763,1.00763,0.00081403,0.00081403,0.00081403
29,1495.57,0.59139,0.59923,1.05796,0.78191,0.70562,0.79708,0.69395,0.53146,0.56594,1.02968,0.000803031,0.000803031,0.000803031
30,1546.69,0.59104,0.59786,1.05779,0.68772,0.67797,0.76519,0.67898,0.50699,0.58344,1.00784,0.000792032,0.000792032,0.000792032
31,1598.45,0.58682,0.58458,1.05358,0.78724,0.70692,0.81564,0.7194,0.49781,0.53901,0.9958,0.000781033,0.000781033,0.000781033
32,1650.01,0.58047,0.58745,1.05684,0.7339,0.77656,0.8093,0.73269,0.47612,0.53085,0.97608,0.000770034,0.000770034,0.000770034
33,1701.63,0.57461,0.59198,1.04984,0.77614,0.75517,0.84504,0.76257,0.4766,0.49419,0.98677,0.000759035,0.000759035,0.000759035
34,1753.29,0.58058,0.59734,1.05233,0.82126,0.77016,0.84461,0.75719,0.49027,0.492,0.99222,0.000748036,0.000748036,0.000748036
35,1804.47,0.57223,0.5828,1.04994,0.72649,0.77627,0.82911,0.73772,0.49213,0.51735,0.99353,0.000737037,0.000737037,0.000737037
36,1856.1,0.57287,0.58935,1.05084,0.83595,0.72701,0.83871,0.74794,0.48473,0.47208,0.99773,0.000726038,0.000726038,0.000726038
37,1907.46,0.57505,0.56932,1.04876,0.84095,0.81759,0.86588,0.77209,0.50535,0.46081,1.00026,0.00071504,0.00071504,0.00071504
38,1958.84,0.56145,0.55826,1.04624,0.84714,0.7559,0.84459,0.74869,0.50689,0.49396,0.99319,0.000704041,0.000704041,0.000704041
39,2009.96,0.57321,0.55822,1.05248,0.7688,0.73323,0.81512,0.72861,0.48615,0.5116,0.98265,0.000693042,0.000693042,0.000693042
40,2060.51,0.5664,0.55427,1.04824,0.79373,0.74713,0.81305,0.7356,0.48014,0.52187,0.98207,0.000682043,0.000682043,0.000682043
41,2111.89,0.56218,0.54449,1.03989,0.77447,0.77813,0.85112,0.76573,0.46654,0.45885,0.974,0.000671044,0.000671044,0.000671044
42,2163.15,0.56684,0.52603,1.04255,0.85804,0.72674,0.84079,0.74708,0.47519,0.48552,0.97636,0.000660045,0.000660045,0.000660045
43,2214.38,0.55826,0.52365,1.03686,0.76974,0.82355,0.84133,0.75413,0.48842,0.48354,0.98732,0.000649046,0.000649046,0.000649046
44,2266.15,0.55259,0.53409,1.03779,0.80021,0.79321,0.86023,0.78086,0.47348,0.46001,0.97311,0.000638047,0.000638047,0.000638047
45,2317.34,0.56517,0.53113,1.04329,0.73559,0.74715,0.80857,0.72771,0.47109,0.50176,0.97287,0.000627048,0.000627048,0.000627048
46,2368.02,0.55984,0.52746,1.04295,0.73561,0.82663,0.84149,0.76655,0.46248,0.47982,0.96563,0.000616049,0.000616049,0.000616049
47,2419.48,0.54856,0.52068,1.03491,0.76479,0.75355,0.82102,0.74454,0.45765,0.50074,0.96622,0.000605051,0.000605051,0.000605051
48,2470.4,0.55031,0.52535,1.04168,0.81611,0.75288,0.84098,0.75462,0.46593,0.47833,0.97256,0.000594052,0.000594052,0.000594052
49,2521.14,0.55238,0.4996,1.03577,0.8696,0.73027,0.84693,0.76022,0.46504,0.46488,0.97473,0.000583053,0.000583053,0.000583053
50,2572.31,0.55036,0.51455,1.0344,0.77719,0.76711,0.83067,0.74552,0.46862,0.47819,0.98159,0.000572054,0.000572054,0.000572054
51,2623.78,0.54207,0.49282,1.03358,0.85231,0.76951,0.86369,0.78243,0.45668,0.44542,0.9674,0.000561055,0.000561055,0.000561055
52,2675.46,0.55781,0.4954,1.03644,0.87189,0.76022,0.85597,0.77697,0.46017,0.48239,0.96906,0.000550056,0.000550056,0.000550056
53,2727.58,0.5356,0.49428,1.0262,0.81938,0.78417,0.85938,0.78236,0.46393,0.45733,0.96563,0.000539057,0.000539057,0.000539057
54,2779.69,0.54045,0.50116,1.03147,0.80639,0.80335,0.84932,0.767,0.4694,0.48096,0.97169,0.000528058,0.000528058,0.000528058
55,2830.67,0.53037,0.48304,1.02794,0.82245,0.77645,0.87259,0.79496,0.4658,0.46348,0.97285,0.000517059,0.000517059,0.000517059
56,2882.34,0.5308,0.47813,1.0262,0.77468,0.75619,0.83004,0.75839,0.46382,0.49824,0.97271,0.00050606,0.00050606,0.00050606
57,2933.62,0.53418,0.46993,1.02479,0.83045,0.81479,0.87061,0.78905,0.46875,0.44633,0.97359,0.000495062,0.000495062,0.000495062
58,2984.66,0.53981,0.472,1.0309,0.82528,0.74844,0.84825,0.76795,0.46172,0.46769,0.97187,0.000484063,0.000484063,0.000484063
59,3036.01,0.52761,0.4752,1.02481,0.7987,0.81181,0.86703,0.78234,0.45629,0.44823,0.9657,0.000473064,0.000473064,0.000473064
60,3087.64,0.52621,0.46316,1.02172,0.82397,0.79771,0.86189,0.78458,0.45881,0.45612,0.96513,0.000462065,0.000462065,0.000462065
61,3139.18,0.53613,0.46465,1.02808,0.83488,0.79082,0.84006,0.7643,0.45453,0.4564,0.9636,0.000451066,0.000451066,0.000451066
62,3189.93,0.52429,0.46947,1.02258,0.82623,0.76336,0.85028,0.77734,0.45179,0.47132,0.95979,0.000440067,0.000440067,0.000440067
63,3241.51,0.52048,0.46753,1.02141,0.88798,0.75826,0.86158,0.7878,0.44853,0.44334,0.95785,0.000429068,0.000429068,0.000429068
64,3292.87,0.52125,0.46642,1.02411,0.81861,0.78224,0.84877,0.77471,0.45602,0.4895,0.9626,0.000418069,0.000418069,0.000418069
65,3343.83,0.51787,0.45602,1.02063,0.88016,0.79024,0.86775,0.7909,0.45736,0.43338,0.95966,0.00040707,0.00040707,0.00040707
66,3395.77,0.50524,0.4314,1.01023,0.86109,0.76329,0.86294,0.78817,0.44935,0.44132,0.96261,0.000396071,0.000396071,0.000396071
67,3447.04,0.51215,0.43172,1.01417,0.84554,0.80356,0.87327,0.79555,0.45518,0.43779,0.96682,0.000385073,0.000385073,0.000385073
68,3498.21,0.51687,0.43083,1.02067,0.91952,0.78644,0.89057,0.81591,0.44899,0.4006,0.95902,0.000374074,0.000374074,0.000374074
69,3549.49,0.50927,0.43044,1.01345,0.88058,0.75828,0.86858,0.79673,0.45072,0.436,0.9578,0.000363075,0.000363075,0.000363075
70,3600.82,0.51298,0.43367,1.01276,0.88138,0.73107,0.86393,0.79062,0.44854,0.42948,0.96122,0.000352076,0.000352076,0.000352076
71,3652.09,0.50386,0.42166,1.01278,0.86232,0.76877,0.8689,0.79738,0.44478,0.42781,0.94805,0.000341077,0.000341077,0.000341077
72,3703.69,0.51191,0.42372,1.01236,0.81514,0.81253,0.87618,0.8036,0.43904,0.41427,0.95284,0.000330078,0.000330078,0.000330078
73,3754.8,0.49631,0.40463,1.00384,0.84584,0.79772,0.8731,0.80276,0.44525,0.42898,0.96072,0.000319079,0.000319079,0.000319079
74,3806.07,0.49231,0.42198,1.00565,0.83833,0.81978,0.87505,0.80121,0.44723,0.42349,0.96296,0.00030808,0.00030808,0.00030808
75,3857.32,0.49859,0.41283,1.00475,0.83074,0.8055,0.86965,0.79625,0.44257,0.42258,0.95615,0.000297081,0.000297081,0.000297081
76,3908.36,0.48444,0.39115,1.00736,0.86474,0.78091,0.85943,0.79164,0.44659,0.44469,0.95763,0.000286083,0.000286083,0.000286083
77,3959.9,0.49451,0.39577,1.0065,0.87753,0.79093,0.87053,0.79727,0.45285,0.43791,0.96289,0.000275084,0.000275084,0.000275084
78,4010.96,0.49343,0.39378,1.00852,0.85715,0.82303,0.88012,0.81128,0.43809,0.41771,0.95245,0.000264085,0.000264085,0.000264085
79,4062.23,0.48905,0.40355,1.00601,0.87265,0.79481,0.87748,0.8095,0.44186,0.42947,0.96422,0.000253086,0.000253086,0.000253086
80,4114.46,0.48965,0.39687,1.0008,0.89348,0.83133,0.88698,0.81937,0.44115,0.40356,0.95571,0.000242087,0.000242087,0.000242087
81,4166.68,0.48843,0.39636,1.00449,0.87048,0.80571,0.87936,0.81175,0.44272,0.40977,0.95921,0.000231088,0.000231088,0.000231088
82,4218.14,0.49033,0.38218,1.00537,0.86516,0.81175,0.88668,0.81363,0.44431,0.417,0.95841,0.000220089,0.000220089,0.000220089
83,4268.81,0.4869,0.38531,1.00289,0.91536,0.78759,0.88625,0.8177,0.44351,0.40455,0.95094,0.00020909,0.00020909,0.00020909
84,4320.27,0.48408,0.37516,0.99676,0.84566,0.86767,0.89084,0.81398,0.44896,0.39423,0.95334,0.000198091,0.000198091,0.000198091
85,4371.66,0.48125,0.38052,0.99703,0.89959,0.77523,0.8731,0.80355,0.44072,0.41817,0.95674,0.000187092,0.000187092,0.000187092
86,4422.91,0.48424,0.37598,1.00525,0.83523,0.82176,0.87284,0.80134,0.4445,0.42271,0.95217,0.000176094,0.000176094,0.000176094
87,4474.69,0.48135,0.37849,1.00274,0.83261,0.82837,0.87771,0.81266,0.44011,0.41991,0.94918,0.000165095,0.000165095,0.000165095
88,4526.74,0.47304,0.36842,0.99819,0.84997,0.79008,0.87648,0.809,0.43133,0.41672,0.94519,0.000154096,0.000154096,0.000154096
89,4579.01,0.47876,0.36555,0.99745,0.89419,0.77329,0.87512,0.80778,0.43377,0.41915,0.94498,0.000143097,0.000143097,0.000143097
90,4630.76,0.46831,0.36216,0.99667,0.8735,0.80584,0.87945,0.81266,0.42884,0.40068,0.94523,0.000132098,0.000132098,0.000132098
91,4683.79,0.36558,0.25735,0.93466,0.88483,0.75742,0.8478,0.78479,0.44287,0.4664,0.95047,0.000121099,0.000121099,0.000121099
92,4733.96,0.35481,0.22771,0.93052,0.87744,0.78161,0.86353,0.79851,0.43699,0.43019,0.94692,0.0001101,0.0001101,0.0001101
93,4784.26,0.3487,0.22183,0.93587,0.86355,0.80792,0.87496,0.80988,0.43784,0.42444,0.94967,9.91012e-05,9.91012e-05,9.91012e-05
94,4834.49,0.34484,0.21781,0.92733,0.85364,0.82135,0.87608,0.81315,0.43127,0.41129,0.94678,8.81023e-05,8.81023e-05,8.81023e-05
95,4884.52,0.34341,0.20613,0.9221,0.86598,0.81746,0.87413,0.80913,0.43356,0.41074,0.94671,7.71034e-05,7.71034e-05,7.71034e-05
96,4935.22,0.33474,0.2069,0.92021,0.8977,0.78258,0.87262,0.81126,0.43085,0.41093,0.94388,6.61045e-05,6.61045e-05,6.61045e-05
97,4985.12,0.33475,0.20507,0.92338,0.84708,0.82054,0.87278,0.81111,0.43256,0.41487,0.94347,5.51056e-05,5.51056e-05,5.51056e-05
98,5035.29,0.32912,0.19989,0.91666,0.8883,0.789,0.86754,0.80777,0.43067,0.41373,0.94409,4.41067e-05,4.41067e-05,4.41067e-05
99,5085.52,0.32722,0.19826,0.91583,0.85795,0.80617,0.8686,0.80883,0.42604,0.41552,0.94147,3.31078e-05,3.31078e-05,3.31078e-05
100,5136.11,0.32494,0.19522,0.91424,0.87987,0.78104,0.86894,0.80967,0.4261,0.41771,0.94068,2.21089e-05,2.21089e-05,2.21089e-05
